Designer,Buyer 1,Buyer 2,Buyer 3
44. Alber Elbaz,17. Julia Toledano (LVMH),92. Sophie Waintraub (Le Bon Marché),26. Laure Hériard Dubreuil (The Webster)
45. Olivier Rousteing,68. Sophie Waintraub (Le Bon Marché),89. Anne-Sophie Mallard (Printemps),5. Roopal Patel (Saks Fifth Avenue)
46. Simon Porte Jacquemus,32. Maria Milano (Harrods),11. Federica Montelli (La Rinascente),69. Anne-Sophie Mallard (Printemps)
47. Jonathan Anderson,"8. Holli Rogers (Farfetch, formerly Browns)","58. Tomoko Takahashi (Isetan, Japan)",71. Anne-Sophie Mallard (Printemps)
48. Christopher Kane,100. Sophie Waintraub (Le Bon Marché),88. Sophie Waintraub (Le Bon Marché),61. Pascale Camart (Le Bon Marché)
49. JW Anderson,81. Anne-Sophie Mallard (Printemps),"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)",59. Anne-Sophie Johanet (Galeries Lafayette)
50. Kim Jones,75. Anne-Sophie Mallard (Printemps),"2. Lisa Aiken (Neiman Marcus, formerly Moda Operandi)",81. Anne-Sophie Mallard (Printemps)
51. Virgil Abloh,"13. Sandrine Conseiller (Aigle, formerly Uniqlo)",30. Simon Longland (Harrods),94. Sophie Waintraub (Le Bon Marché)
52. Jeremy Scott,"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)",31. Helen David (Harrods),79. Anne-Sophie Mallard (Printemps)
53. Victoria Beckham,"46. Yuki Matsuda (Beams, Japan)","8. Holli Rogers (Farfetch, formerly Browns)","14. Sarah Harris (Vogue, formerly buying at Selfridges)"
54. Mary Katrantzou,"25. Sarah Andelman (Colette, Paris)",99. Anne-Sophie Mallard (Printemps),81. Anne-Sophie Mallard (Printemps)
55. Alexander Wang,21. Carla Sozzani (10 Corso Como),56. Colleen Sherin (Saks Fifth Avenue),7. Ida Petersson (Browns)
56. Joseph Altuzarra,33. Jo Osborne (Selfridges),90. Sophie Waintraub (Le Bon Marché),61. Pascale Camart (Le Bon Marché)
57. Haider Ackermann,63. Anne Laure Couplet (Galeries Lafayette),93. Anne-Sophie Mallard (Printemps),19. Sophie Hersan (Vestiaire Collective)
58. Dries Van Noten,99. Anne-Sophie Mallard (Printemps),55. Eric Jennings (formerly Saks Fifth Avenue),83. Anne-Sophie Mallard (Printemps)
59. Ann Demeulemeester,86. Sophie Waintraub (Le Bon Marché),79. Anne-Sophie Mallard (Printemps),95. Anne-Sophie Mallard (Printemps)
60. Rick Owens,"14. Sarah Harris (Vogue, formerly buying at Selfridges)",32. Maria Milano (Harrods),57. Jennifer Sunwoo (Barneys New York)
61. Thom Browne,24. Barbara Boccara (ba&sh),74. Sophie Waintraub (Le Bon Marché),68. Sophie Waintraub (Le Bon Marché)
62. Paul Smith,"46. Yuki Matsuda (Beams, Japan)",5. Roopal Patel (Saks Fifth Avenue),"47. Tomoko Inuzuka (Beams, Japan)"
63. Hussein Chalayan,51. Kevin Harter (Bloomingdale’s),20. Anne Pitcher (Selfridges Group),35. Eleanor Robinson (Selfridges)
64. Gareth Pugh,34. Sebastian Manes (Selfridges),68. Sophie Waintraub (Le Bon Marché),67. Anne-Sophie Mallard (Printemps)
65. Sabyasachi Mukherjee,"45. Yasuhiro Mihara (Isetan, Japan)",3. Libby Page (Net-a-Porter),71. Anne-Sophie Mallard (Printemps)
66. Manish Malhotra,20. Anne Pitcher (Selfridges Group),90. Sophie Waintraub (Le Bon Marché),28. Ken Downing (formerly Neiman Marcus)
67. Guo Pei,70. Sophie Waintraub (Le Bon Marché),40. Anita Barr (Harvey Nichols),93. Anne-Sophie Mallard (Printemps)
68. Han Chong (Self-Portrait),23. Tomoko Ogura (Barneys New York),61. Pascale Camart (Le Bon Marché),5. Roopal Patel (Saks Fifth Avenue)
69. Jason Wu,41. Ruth Chapman (MatchesFashion),32. Maria Milano (Harrods),18. Michael Kliger (Mytheresa)
70. Prabal Gurung,10. Natalie Kingham (MatchesFashion),80. Sophie Waintraub (Le Bon Marché),60. Delphine Bellini (Le Bon Marché)
71. Naeem Khan,"29. Jeffrey Kalinsky (Nordstrom, formerly Jeffrey)",64. Sandrine Lilienfeld (Galeries Lafayette),"47. Tomoko Inuzuka (Beams, Japan)"
72. Elie Saab,53. Michael Fink (Saks Fifth Avenue),"58. Tomoko Takahashi (Isetan, Japan)",81. Anne-Sophie Mallard (Printemps)
73. Zuhair Murad,85. Anne-Sophie Mallard (Printemps),"38. Lisa Armstrong (The Telegraph, formerly buying at Harvey Nichols)",18. Michael Kliger (Mytheresa)
74. Reem Acra,52. Marigay McKee (formerly Harrods),94. Sophie Waintraub (Le Bon Marché),88. Sophie Waintraub (Le Bon Marché)
75. Fausto Puglisi,59. Anne-Sophie Johanet (Galeries Lafayette),"45. Yasuhiro Mihara (Isetan, Japan)",78. Sophie Waintraub (Le Bon Marché)
76. Alberta Ferretti,"58. Tomoko Takahashi (Isetan, Japan)",96. Sophie Waintraub (Le Bon Marché),4. Tiffany Hsu (Mytheresa)
77. Massimo Giorgetti,84. Sophie Waintraub (Le Bon Marché),79. Anne-Sophie Mallard (Printemps),5. Roopal Patel (Saks Fifth Avenue)
78. Silvia Venturini Fendi,41. Ruth Chapman (MatchesFashion),59. Anne-Sophie Johanet (Galeries Lafayette),57. Jennifer Sunwoo (Barneys New York)
79. Alessandro Michele,76. Sophie Waintraub (Le Bon Marché),3. Libby Page (Net-a-Porter),51. Kevin Harter (Bloomingdale’s)
80. Salvatore Ferragamo,"49. Sarah Mower (Vogue, formerly buying at Browns)",66. Sophie Waintraub (Le Bon Marché),99. Anne-Sophie Mallard (Printemps)
81. Emilio Pucci,53. Michael Fink (Saks Fifth Avenue),33. Jo Osborne (Selfridges),21. Carla Sozzani (10 Corso Como)
82. Sonia Rykiel,34. Sebastian Manes (Selfridges),21. Carla Sozzani (10 Corso Como),32. Maria Milano (Harrods)
83. Paco Rabanne,83. Anne-Sophie Mallard (Printemps),"16. Yasmin Sewell (formerly Browns, Liberty London)",62. Sophie Fontanel (Le Bon Marché)
84. Kenzo Takada,19. Sophie Hersan (Vestiaire Collective),"47. Tomoko Inuzuka (Beams, Japan)",61. Pascale Camart (Le Bon Marché)
85. Junya Watanabe,18. Michael Kliger (Mytheresa),19. Sophie Hersan (Vestiaire Collective),7. Ida Petersson (Browns)
86. Chitose Abe,"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)","44. Motofumi Kogi (United Arrows & Sons, Japan)",85. Anne-Sophie Mallard (Printemps)
87. Telfar Clemens,71. Anne-Sophie Mallard (Printemps),62. Sophie Fontanel (Le Bon Marché),"45. Yasuhiro Mihara (Isetan, Japan)"
88. Kerby Jean-Raymond,96. Sophie Waintraub (Le Bon Marché),4. Tiffany Hsu (Mytheresa),23. Tomoko Ogura (Barneys New York)
89. Grace Wales Bonner,89. Anne-Sophie Mallard (Printemps),20. Anne Pitcher (Selfridges Group),"6. Bruce Pask (Neiman Marcus, formerly Bergdorf Goodman)"
90. Marine Serre,42. Tomoko Yamaguchi (Isetan Mitsukoshi),"48. Yoon Ahn (Ambush, Japan)",90. Sophie Waintraub (Le Bon Marché)
91. Peter Do,74. Sophie Waintraub (Le Bon Marché),63. Anne Laure Couplet (Galeries Lafayette),95. Anne-Sophie Mallard (Printemps)
92. Daniel Lee,80. Sophie Waintraub (Le Bon Marché),56. Colleen Sherin (Saks Fifth Avenue),63. Anne Laure Couplet (Galeries Lafayette)
93. Matthew Williams,87. Anne-Sophie Mallard (Printemps),32. Maria Milano (Harrods),"8. Holli Rogers (Farfetch, formerly Browns)"
94. Nicolas Di Felice,68. Sophie Waintraub (Le Bon Marché),77. Anne-Sophie Mallard (Printemps),"45. Yasuhiro Mihara (Isetan, Japan)"
95. Glenn Martens,65. Anne-Sophie Mallard (Printemps),21. Carla Sozzani (10 Corso Como),90. Sophie Waintraub (Le Bon Marché)
96. Ludovic de Saint Sernin,56. Colleen Sherin (Saks Fifth Avenue),"44. Motofumi Kogi (United Arrows & Sons, Japan)",87. Anne-Sophie Mallard (Printemps)
97. Harris Reed,19. Sophie Hersan (Vestiaire Collective),26. Laure Hériard Dubreuil (The Webster),21. Carla Sozzani (10 Corso Como)
98. Thebe Magugu,"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)",97. Anne-Sophie Mallard (Printemps),20. Anne Pitcher (Selfridges Group)
99. Christopher John Rogers,30. Simon Longland (Harrods),51. Kevin Harter (Bloomingdale’s),60. Delphine Bellini (Le Bon Marché)
100. LaQuan Smith,84. Sophie Waintraub (Le Bon Marché),66. Sophie Waintraub (Le Bon Marché),39. Averyl Oates (Harvey Nichols)
